Order,Test-Times,Load-Time,Cal-Time,
11,8,10.270740747451782,37.657766819000244,
11,9,9.571654081344604,37.150789976119995,
12,0,9.874456644058228,47.01353883743286,
12,1,9.29538345336914,46.87256979942322,
12,2,10.252578258514404,45.57657194137573,
12,3,9.75556206703186,46.35705232620239,
12,4,10.266627788543701,46.128817081451416,
12,5,9.539169073104858,46.31984543800354,
12,6,10.008773565292358,46.35631990432739,
12,7,10.12457275390625,45.75023102760315,
12,8,10.022665023803711,45.8625328540802,
12,9,9.832537651062012,45.73913645744324,
13,0,10.328680753707886,56.45612335205078,
13,1,9.821941375732422,56.244980335235596,
13,2,9.201915264129639,56.5675573348999,
13,3,9.95340609550476,56.20314860343933,
13,4,9.469040155410767,55.996137857437134,
13,5,9.908266544342041,56.02414011955261,
13,6,9.467700481414795,57.762675285339355,
13,7,10.000900983810425,56.89300775527954,
13,8,9.51762843132019,56.629563093185425,
13,9,10.040542602539062,56.57383728027344,
14,0,9.528305530548096,69.903635263443,
14,1,9.978740930557251,67.6270694732666,
14,2,9.51955533027649,79.00946879386902,
14,3,11.997580289840698,73.00347232818604,
14,4,9.66712236404419,82.61552810668945,
14,5,9.542462587356567,71.62339639663696,
14,6,9.527342319488525,72.36338782310486,
14,7,9.369925498962402,70.85040831565857,
14,8,9.59536600112915,67.54020881652832,
14,9,9.44732666015625,73.61298727989197,
15,0,9.221997022628784,86.50583505630493,
15,1,9.759379863739014,84.33590269088745,
15,2,9.897172212600708,87.27433466911316,
15,3,9.557286500930786,89.04309940338135,
15,4,10.1169753074646,85.9544141292572,
15,5,9.437339782714844,82.47752952575684,
15,6,9.957629442214966,84.353759765625,
15,7,9.612041234970093,84.73078560829163,
15,8,10.18464183807373,84.1205084323883,
15,9,9.541756629943848,82.2465431690216,
16,0,9.995306968688965,105.81887674331665,
16,1,9.7482750415802,103.9683563709259,
16,2,9.690818309783936,102.94307923316956,
16,3,9.654474258422852,102.63050770759583,
16,4,9.721677303314209,102.01297616958618,
16,5,9.473349809646606,105.16301321983337,
16,6,9.699734926223755,103.30365109443665,
16,7,9.967209339141846,106.40386748313904,
16,8,9.467804193496704,103.2135329246521,
16,9,10.242683172225952,106.70991849899292,
17,0,9.417657375335693,128.33518719673157,
17,1,10.237414836883545,131.39786911010742,
17,2,10.01627779006958,129.34345698356628,
17,3,9.681292295455933,131.92353796958923,
17,4,10.083165645599365,126.83000016212463,
17,5,9.658311367034912,131.8991198539734,
17,6,9.842751026153564,125.4014060497284,
17,7,9.58667802810669,128.114590883255,
17,8,9.949864625930786,125.52612805366516,
17,9,9.642086505889893,125.03435134887695,
18,0,9.975862979888916,169.61065697669983,
18,1,9.887200832366943,160.8644256591797,
18,2,9.873661041259766,162.29959964752197,
18,3,10.423932075500488,160.78079891204834,
18,4,9.833375930786133,163.482323884964,
18,5,9.79748249053955,153.60921120643616,
18,6,9.877701759338379,161.74692225456238,
18,7,9.89675521850586,161.26641726493835,
18,8,10.132061004638672,159.81134486198425,
18,9,9.526650667190552,161.4663257598877,
19,0,9.877898454666138,193.5794644355774,
19,1,9.807311534881592,186.59101939201355,
19,2,10.469642400741577,186.0942542552948,
19,3,9.925464153289795,183.33479928970337,
19,4,9.561375141143799,185.98298954963684,
19,5,10.206970930099487,182.43128275871277,
19,6,9.842954158782959,179.51029992103577,
19,7,10.00858187675476,190.16079926490784,
19,8,10.522059679031372,193.02664732933044,
19,9,10.200035810470581,181.25248408317566,
20,0,9.723141431808472,226.80695486068726,
20,1,9.86290693283081,228.72028756141663,
20,2,10.237880229949951,226.1898910999298,
20,3,9.721643686294556,224.75429010391235,
20,4,10.262006282806396,222.7679455280304,
20,5,9.642753839492798,225.53761076927185,
20,6,10.004071235656738,222.5111117362976,
20,7,10.199345350265503,224.61108422279358,
20,8,9.94802474975586,221.81145095825195,
20,9,10.278949975967407,221.4302477836609,
